subnet,country,datacenter,proxy_type
89.22.242.0/23,ROC,,
89.22.244.0/22,ROC,,
89.22.248.0/21,ROC,,
89.107.136.0/24,ROC,,
89.107.137.0/24,ROC,,
89.107.138.0/27,ROC,,
89.107.138.32/28,ROC,,
89.107.138.48/29,ROC,,
89.107.138.56/32,ROC,,
89.107.138.57/32,ROC,,
89.107.138.58/31,ROC,,
89.107.138.60/30,ROC,,
89.107.138.64/26,ROC,,
89.107.138.128/25,ROC,,
89.107.139.0/28,ROC,,
89.107.139.16/29,ROC,,
89.107.139.24/30,ROC,,
89.107.139.28/32,ROC,,
89.107.139.30/31,ROC,,
89.107.139.32/27,ROC,,
89.107.139.64/26,ROC,,
89.107.139.128/25,ROC,,
89.251.160.0/21,ROC,,
89.251.168.0/23,ROC,,
89.251.170.0/23,ROC,,
89.251.172.0/22,ROC,,
91.132.218.0/24,ROC,,
91.132.219.0/24,ROC,,
91.194.163.0/24,ROC,,
91.197.132.0/24,ROC,,
91.197.133.0/24,ROC,,
91.197.134.0/23,ROC,,
91.205.157.0/24,ROC,,
91.205.164.0/22,ROC,,
91.205.216.0/23,ROC,,
91.205.218.0/26,ROC,,
91.205.218.64/27,ROC,,
91.205.218.96/28,ROC,,
91.205.218.112/31,ROC,,
91.205.218.114/32,ROC,,
91.205.218.115/32,ROC,,
91.205.218.116/30,ROC,,
91.205.218.120/29,ROC,,
91.205.218.128/25,ROC,,
91.205.219.0/24,ROC,,
91.207.97.0/24,ROC,,
91.207.107.0/24,ROC,,
91.207.108.0/23,ROC,,
91.209.54.0/24,ROC,,
91.210.120.0/22,ROC,,
91.210.148.0/24,ROC,,
91.210.149.0/24,ROC,,
91.210.176.0/22,ROC,,
91.212.201.0/24,ROC,,
91.212.220.0/24,ROC,,
91.214.124.0/24,ROC,,
91.214.127.0/24,ROC,,
91.214.128.0/23,ROC,,
91.214.130.0/25,ROC,,
91.214.130.128/30,ROC,,
91.214.130.133/32,ROC,,
91.214.130.134/31,ROC,,
91.214.130.136/29,ROC,,
91.214.130.144/28,ROC,,
91.214.130.160/27,ROC,,
91.214.130.192/26,ROC,,
91.215.60.0/22,ROC,,
91.216.240.0/24,ROC,,
91.217.78.0/23,ROC,,
91.219.232.0/23,ROC,,
91.219.234.0/25,ROC,,
91.219.234.128/25,ROC,,
91.219.235.0/24,ROC,,
91.221.52.0/23,ROC,,
91.222.48.0/23,ROC,,
91.222.50.0/24,ROC,,
91.222.51.0/24,ROC,,
91.223.48.0/24,ROC,,
91.224.30.0/24,ROC,,
91.224.168.0/23,ROC,,
91.225.152.0/23,ROC,,
91.225.154.0/28,ROC,,
91.225.154.16/31,ROC,,
91.225.154.18/32,ROC,,
